Título 1,Título 2,Data,Local,Conteúdo
"Cuiabá x Vitória: onde assistir, escalações e horário do jogo pelo Brasileirão","Confira as principais informações do jogo atrasado da segunda rodada da competição
",2024-06-05 07:00:00,São Paulo (SP),"Confira todas as informações que você precisa saber sobre o confronto entre Cuiabá e Vitória (onde assistir, horário, escalações e local).
✅ FICHA TÉCNICACuiabá x VitóriaBrasileirão - 2ª rodada
⚽ PROVÁVEIS ESCALAÇÕES
CUIABÁ (Técnico: Petit)Walter; Matheus Alexandre, Marllon, Bruno Alves e Rikelme; Lucas Mineiro, Fernando Sobral e Guilherme Madruga; Jonathan Cafú, Clayson e Isidro Pitta.
VITÓRIA (Técnico: Thiago Carpini)Lucas Arcanjo; Willean Lepo, Bruno Uvini, Wagner Leonardo e Lucas Esteves; Willian Oliveira (Léo Naldi), Jean Mota e Matheusinho; Daniel Jr. Iury Castilho e Alerrandro.
"
Fluminense não dá sinais de recuperação e pode ter clássico de ‘vida ou morte’ para Diniz,Tricolor ocupa a lanterna do Campeonato Brasileiro,2024-06-20 06:00:00,Rio de Janeiro (RJ),"Precisando do triunfo diante da Raposa para espantar a má fase, o Time de Guerreiros finalizou nove vezes ao longo dos 90 minutos. Mas apenas três vezes na segunda etapa, que era quando a equipe precisava dar uma resposta após encerrar o primeiro tempo em desvantagem no placar.
É preciso pontuar que o Fluminense atuou com diversos desfalques por motivos diferentes, mas o desempenho seguiu abaixo do visto em 2023. Com isso, o risco de queda aumentam e as chances de recuperação diminuem.
- O time hoje não foi o mesmo time que jogou contra o Botafogo, Juventude ou Atlético-GO. A equipe jogou bem diante do Cruzeiro, dentro das nossas características com um time muito mexido. Conseguimos produzir. Poderíamos ter vencido o jogo. Teve um pênalti totalmente inexistente, na minha opinião. O árbitro teve interferência direta na partida. E agora a equipe está voltando. Deu uma resposta positiva que não se traduziu no resultado. O clube pode voltar a ganhar e fazer uma grande temporada ainda - analisou o treinador após a derrota para o Cruzeiro.
No domingo (23), o Tricolor tem um jogo que pode ser decisivo para o futuro de Fernando Diniz no cargo. Diante do Flamengo, o Time de Guerreiros precisa dar uma resposta para salvar a pele do comandante e amenizar o clima internamente.
No confronto, o Fluminense será dirigido por Eduardo Barros, uma vez que o treinador principal recebeu o 3º cartão amarelo no Brasileirão contra o Cruzeiro. E será a segunda vez que Diniz não comandará seu time no Campeonato Brasileiro.
O Tricolor também precisará quebrar um tabu: vencer Tite. Desde que o ex-técnico da Seleção Brasileira chegou no Flamengo, o Rubro-Negro conquistou dois triunfos e teve dois empates. Nesses quatro confrontos, o Time de Guerreiros marcou apenas um gol.
"
Calleri critica postura do São Paulo em derrota para o Cuiabá e comenta vaias da torcida,Atacante entende que time jogou mal em casa e que vaias são válidas,2024-06-19 23:00:00,São Paulo (SP),"– Acho que são válidas (as vaias), a gente não jogou bem outra vez. Temos que fazer um pouco mais dentro de casa, no Morumbis. Temos que ganhar, temos fome e gana de brigar pelo Brasileirão - afirmou o argentino.
– Foi uma partida muito abaixo de todo mundo, temos que melhorar, falar entre nós, e não tem desculpa, hoje não foi o que a gente trabalhou, temos que fazer uma 'mea culpa' para dentro para ver no que pode melhorar. Estávamos havia 13 jogos invictos, mas hoje não foi a imagem que a torcida vem vendo nos últimos jogos – concluiu o atacante.
O próximo desafio do Tricolor será no sábado (22), contra o Vasco, em São Januário, pela 11ª rodada do Brasileirão.
"
Santos vence o Goiás na Vila Belmiro e encerra sequência negativa na Série B,Peixe volta a vencer após quatro derrotas consecutivas e respira na Série B,2024-06-19 21:02:00,São Paulo (SP),"O primeiro tempo de Santos e Goiás reservou poucas emoções aos torcedores das duas equipes. A melhor chance aconteceu só no final, quando Chermont arriscou de fora da área e obrigou o goleiro Tadeu a defender. No segundo tempo, o duelo foi um pouco mais movimentado. Guilherme, Pedrinho e Otero tentaram, sem sucesso, enquanto Borel e Pedrinho responderam para o Goiás. No fim, Tadeu, contra, e Willian garantiram a vitória do Peixe.
✅ FICHA TÉCNICASANTOS 2 x 0 GOIÁSBRASILEIRÃO SÉRIE B - 11ª RODADA
🗓️ Data e horário: quarta-feira, 19 de junho de 2024, às 19h (de Brasília)📍 Local: Vila Belmiro, em Santos (SP)🟨 Árbitro: Rodrigo Jose Pereira de Lima🚩 Assistentes: Francisco Chaves Bezerra Junior e Victor Hugo Imazu dos Santos🖥️ VAR: Charly Wendy Straub Deretti
⚽ ESCALAÇÕES
SANTOS (Técnio: Fábio Carille)Gabriel Brazão, JP Chermont, Gil, Joaquim, Escobar, João Schmidt, Diego Pituca, Giuliano, Pedrinho, Julio Furch e Guilherme.
GOIÁS (Técnico: Márcio Zanardi)Tadeu, Lucas Ribeiro, David Braz, Edson, Diego, Wellington, Marcão Silva, Wellinton, Luiz Henrique, Paulo Baya, Breno Herculano.
"
Jornalista critica organizada do Flamengo: ‘Não deixa o Maracanã explodir’,Gabriel Simões é flamenguista e comentarista da TNT Sports,2024-06-20 10:00:00,Rio de Janeiro,"O jornalista Gabriel Simões, Coordenador de Transmissões da TNT e comentarista dos programas da emissora, costuma frequentar o Maracanã como torcedor do Flamengo. O comentarista publicou um vídeo em suas redes sociais taxando umas das principais torcidas organizadas do Flamengo como 'o problema da torcida' e acusando-a de impedir que o Maracanã exploda.
- Eu não sou de nenhuma torcida organizada, não tenho preferências. A minha única preocupação é a torcida do Flamengo cantar no estádio e ser boa para o Flamengo. Hoje, raríssimas vezes o Maracanã inflamou, isso tem nome e, o nome de hoje foi “Nação 12” - disse Gabriel sobre a torcida organizada do Flamengo.
- A “Nação 12” não deixou a torcida do Flamengo em nenhum momento explodir, porque ela queria cantar só as musiquinhas dela e não acompanhava o que a Norte inteira tava cantando. Isso não é novo, isso não é novidade, isso a gente já cansou de falar - continuou;
Gabriel compeltou dizendo que não têm nenhum tipo de 'perseguição' com a organizada do Flamengo, inclsuive já curtiu alguns momentos ao lado da torcida.
- Eu sou torcedor do Flamengo, eu vou na torcida do Flamengo, e eu inclusive tava do lado da ‘Nação 12’. E eu gosto, já desci a rampa da arquibancada do Maracanã com a Nação 12 várias vezes, eu gosto de algumas músicas… Não é ataque pessoal. - concluiu.
"
"Em jogo morno, Fortaleza marca de pênalti e vence o Grêmio no Brasileirão",Gol do jogo foi marcado por Lucero,2024-06-19 22:37:00,Rio de Janeiro (RJ),"✅ FICHA TÉCNICAFORTALEZA X GRÊMIO10ª RODADA - SÉRIE A DO CAMPEONATO BRASILEIRO🗓️ Data e horário: quarta-feira, 19 de junho de 2024, às 20h;🏟️ Local: Arena Castelão, em Fortaleza (CE)📺 Onde assistir: Premiere;🟨 Árbitro: João Vitor Gobi (SP);🚩 Assistentes: Daniel Paulo Ziolli (SP) e Gustavo Rodrigues de Oliveira (SP);🖥️ VAR: Rodrigo Nunes de Sá (FIFA-RJ).
⚽ ESCALAÇÕES
FORTALEZA (Técnico: Juan Pablo Vojvoda)João Ricardo; Tinga, Titi, Tomáz Cardona e Bruno Pacheco; Zé Welison, Hércules e Pochettino; Pikachu, Breno Lopes e Lucero.
GRÊMIO (Técnico: Renato Portaluppi)Marchesín; João Pedro, Rodrigo Ely, Kannemann e Reinaldo; Dodi e Pepê; Pavón, Cristaldo e Gustavo Nunes; João Pedro Galvão.
"
"Fortaleza x Athletico: onde assistir, escalações e horário do jogo pelo Brasileirão",Confira as principais informações do jogo da sétima rodada,2024-06-02 07:00:00,Fortaleza (CE),"Confira todas as informações que você precisa saber sobre o confronto entre Vasco e Flamengo (onde assistir, horário, escalações e local).
✅ FICHA TÉCNICAFortaleza x AthleticoBrasileirão - 7ª rodada
⚽ PROVÁVEIS ESCALAÇÕES
Fortaleza (Técnico: Juan Pablo Vojvoda)João Ricardo; Tinga, Titi, Benjamin Kuscevic e Bruno Pacheco; Y. Pikachu, Zé Welison, Hércules e Tomás Pochettino; Imanol Machuca e Juan Martín Lucero.
Athletico (Técnico: Cuca)Bento; Leonardo Godoy, Kaique Rocha, Thiago Heleno e Fernando; Erick e Alex Santana; Bruno Zapelli, Agustín Canobbio e Tomás Cuello; Pablo.
"
Estrela do Real Madrid se rende à chegada de Mbappé ao clube: ‘Vai ser uma loucura’,Contratação do astro francês causou empolgação no elenco merengue,2024-06-20 13:52:00,Redação do Lance!,"Não que a constelação de jogadores do Real Madrid não dê motivos para isso, mas o volante sul-americano ativou o modo 'empolgou' com a chegada de mais uma estrela no comando do ataque. Confira:
""Vai ser uma loucura. Somos o melhor time do mundo!"" - disse Valverde ao 'The Residency'
Ao que parece, o único preocupado com a situação é Carlo Ancelotti. O treinador italiano terá, além de Mbappé, os brasileiros Vinícius Jr, Rodrygo e Endrick como opções para a linha de ataque. Outra nome que levante debates é Jude Bellingham, que muitas vezes atuou avançado na temporada passada, mas deve ser recuado em 2024/25.
O britânico, inclusive, também foi alvo de um tema curioso na entrevista do meia uruguaio. Questionado sobre o entrosamento com o jogador, Valverde revelou que, por não saber falar inglês, 'tem muitas dificuldades para conversar com Bellingham', mas que isso não influencia em nada nos gramados.
Além disso, outros dois companheiros de meio campo também foram muito elogiados pelo volante: Toni Kroos, que vai se aposentar ao final da Euro 2024, e Luka Modric, que aos 38 anos, deve disputar mais uma temporada com a camisa dos Blancos. Segundo o sul-americano, os dois meias são os maiores espelhos na carreira, e ter recebido a camisa 8 de Kroos foi um 'grande orgulho'.
Pela disputa da Eurocopa, Mbappé se recupera de uma lesão no nariz sofrida na estreia, durante a vitória por 1 a 0 contra a Áustria. Ao tentar um cabeceio, o artilheiro chocou o rosto no ombro do defensor Kevin Danso e saiu de campo com o nariz fora do lugar.
Posteriormente, foi constatado por exames que Kylian sofreu uma fratura no local. Com isso, o camisa dez ficará de fora do duelo contra a Holanda, na próxima sexta (21), mas não preocupa para o restante da competição.
"
Leitura labial revela detalhes da discussão que fez Hulk ser expulso contra o Palmeiras,Gustavo Machado decifra a discussão entre Hulk e o árbitro da partida,2024-06-19 10:54:00,Rio de Janeiro,"O dublador Gustavo Machado, famoso na internet por fazer leitura labial de jogadores de futebol em situação de jogo, soltou um vídeo revelando tudo que foi dito por Hulk durante toda a discussão com o árbitro Rodrigo José Pereira. Confira o que foi dito pelo jogador e o vídeo que mostra o momento da expulsão;
- Deu amarelo pra mim por quê? Deu amarelo pra mim por quê? Por que você vai dar amarelo pra mim, professor? Fala por quê! Vai me expulsar por quê? O que eu falei tá gravado aqui. Tá gravado, tá gravado. - discutiu com Rodrigo José Pereira.
-Ei! (chamando atenção do câmera) Registra essa palhaçada. Tá gravado. Eu perguntei por que amarelo e ele me deu o segundo. Tá na câmera. - protestou Hulk.
-Professor, (juro) pela minha filha, eu perguntei por que ele me deu amarelo, e ele me deu o segundo. Por Deus. Não tá certo isso não... Dâ as imagens, dâ as imagens. É a segunda vez que ele me expulsa. - conversou com o quarto árbitro.
-Não dá mais, isso tá ridículo. Ei, a câmera tá pegando: eu só peço por favor, faz leitura labial e pede pra ele escrever na súmula o porquê do segundo amarelo. Eu botei a mão pra trás e perguntei por que ele me deu o amarelo. Agora pode pegar câmera, áudio, tudo... Isso aí tá demais. - disse o atacante se dirigindo a câmera.

"
Pedro Rocha comemora seu primeiro título da Copa do Nordeste,Atacante veste a camisa do Leão do Pici desde 2022,2024-06-12 23:11:00,Rio de Janeiro (RJ),"A conquista da Copa do Nordeste foi mais do que especial para diversas personalidades dentro do Fortaleza. No caso de Pedro Rocha teve um gostinho a mais, uma vez que foi a primeira vez que o atacante levantou este troféu.
Pedro Rocha está no Fortaleza desde 2022. O título da Copa do Nordeste representa a segunda conquista do jogador com a camisa do Leão do Pici.
- Conquistamos ano passado o Campeonato Cearense e agora conseguimos novamente levantar mais uma taça da Copa do Nordeste pelo Leão. Pra mim é especial, pois é meu segundo título pelo clube e primeiro da Copa do Nordeste, uma conquista que tem um gosto diferente pra todos nós do grupo e para o torcedor - contou Pedro Rocha.
Em toda a sua passagem pelo Fortaleza, Pedro Rocha já esteve em campo em 41 partidas. Ao todo, o atacante marcou quatro gols e deu nove assistências.
"
Jorge Jesus pede permanência de astro do Al Hilal e frustra clubes brasileiros,Cruzeiro negocia para repatriar atacante do clube saudita,2024-06-18 16:12:00,Rio de Janeiro (RJ),"O atleta possui contrato com a equipe saudita até junho de 2025, mas o Cruzeiro busca costurar um acordo para a chegada do camisa 96 nesta janela de transferências. O ponta possui uma multa na casa de 8 milhões de euros (R$ 46,5 milhões), mas o clube estaria disposto a reduzir o valor para vendê-lo em dezembro.
O Flamengo também chegou a ser especulado como um dos possíveis interessados na contratação de Michael na metade da temporada. No entanto, Marcos Braz, VP de Futebol do Rubro-Negro, negou há algumas semanas que houvesse negociação pelo retorno do atacante em 2024.
Na última temporada, o atleta fez 46 partidas com a camisa do Al Hilal, marcou nove gols e contribuiu com 13 assistências. O jogador conquistou o Campeonato Saudita, a Copa do Rei Saudita e a Supercopa Saudita.
"
"Vitória x Internacional: onde assistir ao vivo, horário e escalações do jogo pelo Brasileirão",Confira as principais informações do duelo válido pela nona rodada do Campeonato Brasileiro ,2024-06-16 07:00:00,Salvador (BA),"Confira todas as informações que você precisa saber sobre o confronto entre Vitória e Internacional (onde assistir, horário, escalações e local).
✅ FICHA TÉCNICAVITÓRIA X INTERNACIONALBRASILEIRÃO - 9ª RODADA
🗓️ Data e horário: domingo, 16 de junho de 2024, às 16h (de Brasília)📍 Local: Barradão, em Salvador (BA)📺 Onde assistir: Globo e Premiere🟨 Árbitro: Bruno Arleu de Araújo🚩 Assistentes: Thiago Henrique Neto Correa Farinha e Thiago Rosa de Oliveira 🖥️ VAR: Carlos Eduardo Nunes Braga
⚽ PROVÁVEIS ESCALAÇÕES
VITÓRIA (Técnico: Thiago Carpini)Lucas Arcanjo; Zeca, Camutanga, Wagner Leonardo e Lucas Esteves (PK); Willian Oliveira, Léo Naldi, Dudu (Luan Santos) e Matheusinho; Osvaldo e Alerrandro
INTERNACIONAL (Técnico: Eduardo Coudet)Fabricio; Bustos, Vitão, Mercado e Renê; Fernando, Aránguiz, Bruno Henrique e Hyoran; Wesley e Lucca (Lucas Alario).
"
"Athletico x Criciúma: onde assistir ao vivo, horário e escalações do jogo pelo Brasileirão","Confira as principais informações do duelo válido pela oitava rodada do Campeonato Brasileiro
",2024-06-13 07:43:00,São Paulo (SP),"Confira todas as informações que você precisa saber sobre o confronto entre Athletico e Criciúma (onde assistir, horário, escalações e local).
✅ FICHA TÉCNICAATHLETICO X CRICIÚMABRASILEIRÃO - 8ª RODADA
🗓️ Data e horário: quarta-feira, 13 de junho de 2024, às 20h (de Brasília);📍 Local: Ligga Arena, em Curitiba (PR)📺 Onde assistir: Rede Furacão e Cazé TV🟨 Árbitro: Jonathan Benkenstein Pinheiro (RS)🚩 Assistentes: Marcelo Carvalho Van Gasse (SP) e Jorge Eduardo Bernardi (RS)📺 VAR: Rodrigo Guarizo Ferreira do Amaral (SP)
⚽ PROVÁVEIS ESCALAÇÕES:
ATHLETICO (Técnico: Cuca)Léo Linck; Kaique Rocha, Thiago Heleno e Mateo Gamarra; Léo Godoy, Erick, Fernandinho e Fernando (Esquivel); Nikão, Zapelli e Mastriani.
CRICIÚMA (Técnico: Claudio Tencati)Gustavo; Claudinho, Tobias Figueiredo, Walisson Maia, Marcelo Hermes; Barreto, Meritão, Marquinhos Gabriel, Matheusinho; Eder, Bolasie.
"
Fortaleza x Grêmio: qual é o histórico do confronto?,Equipes se enfrentam na 10ª rodada da competição,2024-06-19 17:08:00,Rio de Janeiro (RJ),"Ao todo, as equipes disputaram 20 jogos, com três vitórias do Fortaleza, seis empates e 11 vitórias do Grêmio. Com o Laion sendo mandante, a vantagem também é do Imortal, com cinco vitórias, três empates e apenas três derrotas.
Nos domínios do Tricolor Gaúcho, mais vantagem: seis vitórias e três empates. O Grêmio marcou 33 gols e sofreu apenas 14 nestes 20 jogos já disputados. No retrospecto recente, o Imortal não anda bem das pernas. Desde 2019, venceu apenas uma vez. De lá pra cá, foram cinco empates e uma derrota.
✅ FICHA TÉCNICAFORTALEZA X GRÊMIO10ª RODADA - SÉRIE A DO CAMPEONATO BRASILEIRO🗓️ Data e horário: quarta-feira, 19 de junho de 2024, às 20h;🏟️ Local: Arena Castelão, em Fortaleza (CE)📺 Onde assistir: Premiere;🟨 Árbitro: João Vitor Gobi (SP);🚩 Assistentes: Daniel Paulo Ziolli (SP) e Gustavo Rodrigues de Oliveira (SP);🖥️ VAR: Rodrigo Nunes de Sá (FIFA-RJ).
⚽ PROVÁVEIS ESCALAÇÕES
FORTALEZA (Técnico: Juan Pablo Vojvoda)João Ricardo; Tinga, Titi, Tomáz Cardona e Bruno Pacheco; Zé Welison, Hércules e Pochettino; Pikachu, Breno Lopes e Lucero.
GRÊMIO (Técnico: Renato Portaluppi)Marchesín; João Pedro, Rodrigo Ely, Kannemann e Reinaldo; Dodi e Pepê; Pavón, Cristaldo e Gustavo Nunes; João Pedro Galvão.
"
António Oliveira explica cenário sobre possível demissão no Corinthians,Timão foi derrotado pelo Internacional por 1 a 0 e completou seis partidas sem vitórias no Campeonato Brasileiro ,2024-06-20 12:21:00,São Paulo (SP),"Questionado a respeito da falta de resultado do Timão no Brasileirão, António Oliveira admitiu que o Corinthians precisa reagir de forma rápida na competição para evitar o descenso, mas revelou não estar resceoso com uma eventual demissão.
António Oliveira explicou que trabalha em conjunto com o departamento de futebol para reforçar o elenco na próxima janela de transferências. Nos últimos dias, o treinador português cobrou publicamente contratações para o elenco, que perdeu algumas peças durante o primeiro semestre.
- Sei que estou fazendo, sou teimoso para caramba, com reajustes que vamos fazer no mercado ficaremos mais fortes e vamos diminuir o tempo que perdemos em alguns pontos. Agora é descansar e pensar no próximo jogo - finalizou.
Com apenas sete pontos conquistados em dez partidas, o Corinthians aparece na 17ª posição, dentro da zona de rebaixamento e com partidas a mais que Grêmio e Vitória, que ocupam a 18ª e 19ª colocação, respectivamente. Na próxima rodada, a equipe comandada por António Oliveira visita o Athletico, na Ligga Arena, pela 11ª rodada do Brasileirão.
"
Veja data e hora dos jogos da terceira fase da Copa do Brasil 2024,Partidas serão disputadas entre 30 de abril e 23 de maio; confira dias e horários de cada confronto,2024-04-23 09:42:00,Rio de Janeiro (RJ),"Confira abaixo data e hora dos jogos da terceira fase da Copa do Brasil 2024:
JOGOS DE IDA30 de abril (terça-feira)19h - Bahia x Criciúma (Arena Fonte Nova)20h - Operário-PR x Grêmio (Germano Kruger)21h30 - Atlético-MG x Sport (Arena MRV)
1º de maio (quarta-feira)16h - Sampaio Corrêa x Fluminense (Kleber Andrade)16h - Brusque x Atlético-GO (Arena Joinville)18h - Sousa x Red Bull Bragantino (Marizão)18h - Ypiranga-RS x Athletico-PR (Colosso da Lagoa)19h - Fortaleza x Vasco (Arena Castelão)20h - América-RN x Corinthians (Arena das Dunas)21h30 - Flamengo x Amazonas (Maracanã)21h30 - Internacional x Juventude (Beira Rio)
2 de maio (quinta-feira)19h - Botafogo x Vitória (Nilton Santos)19h30 - Águia de Marabá x São Paulo (Mangueirão)20h30 - CRB x Ceará (Rei Pelé)21h30 - Goiás x Cuiabá (Hailé Pinheiro)21h30 - Palmeiras x Botafogo-SP (Allianz Parque)
JOGOS DE VOLTA21 de maio (terça-feira)19h - Vitória x Botafogo (Barradão)20h - Corinthians x América-RN (Neo Quimica Arena)21h30 - Vasco x Fortaleza (São Januário)
22 de maio (quarta-feira)18h30 - Red Bull Bragantino x Sousa (Nabi Abi Chedid)19h - Fluminense x Sampaio Corrêa (Maracanã)19h - Atlético-GO x Brusque (Antônio Accioly)19h - Sport x Atlético-MG (Arena de Pernambuco)19h30 - Grêmio x Operário-PR (Arena do Grêmio)20h - Athletico-PR x Ypiranga-RS (Ligga Arena)21h - São Paulo x Águia de Marabá (Morumbis)21h30 - Amazonas x Flamengo (Arena da Amazônia)21h30 - Juventude x Internacional (Alfredo Jaconi)
23 de maio (quinta-feira)19h - Criciúma x Bahia (Heriberto Hülse)19h - Botafogo-SP x Palmeiras (Santa Cruz)21h30 - Ceará x CRB (Arena Castelão)21h30 - Cuiabá x Goiás (Arena Pantanal)
"
Torcedores detonam Ceni por nova eliminação do Bahia: ‘Horroroso’,Tricolor de Aço parou na semifinal da Copa do Nordeste,2024-05-27 14:49:00,São Paulo (SP),"Além da eliminação precoce na Copa do Nordeste, o Bahia de Rogério Ceni também decepcionou no Campeonato Baiano, sendo derrotado pelo rival Vitória na final do estadual.
Após a pausa no Brasileirão, o Bahia de Rogério Ceni vai enfrentar o Atlético-MG na Série A. O duelo será disputado no domingo (2), às 16h, na Arena MRV. O Tricolor de Aço é o vice-líder da competição, empatado em pontos com o Athletico-PR.
Rogério Ceni ainda não conquistou títulos pelo Bahia, mas desde que se aposentou e virou treinador, ele faturou a Florida Cup (2017) pelo São Paulo; a Série B: (2018), Campeonato Cearense (2019, 2020) e Copa do Nordeste (2019) pelo Fortaleza; e o Brasileirão (2020) Supercopa do Brasil (2021) e Campeonato Carioca (2021) pelo Flamengo 
"
Fluminense é derrotado pelo Cruzeiro e assume a lanterna do Brasileirão,Tricolor vive drama no Campeonato Brasileiro,2024-06-19 23:27:00,Belo Horizonte (MG),"Com o resultado, o Tricolor segue com seis pontos, mas caiu para a lanterna do Brasileirão por conta do saldo de gols. Por outro lado, a Raposa chegou aos 17 pontos e subiu para a 6ª colocação da competição.
No domingo (23), o Fluminense encara o clássico contra o Flamengo, pela 11ª rodada do Campeonato Brasileiro. No mesmo dia, o Cruzeiro visita o Bahia.
✅ FICHA TÉCNICACruzeiro 2 x 0 Fluminense - Brasileirão10ª rodada
🗓️ Data e horário: quarta-feira, 19 de junho de 2024, às 21h30📍 Local: Mineirão, em Belo Horizonte (MG)🟨 Arbitragem: Matheus Delgado Candançan (árbitro); Alex Ang Ribeiro e Evandro de Melo Lima (auxiliares); Daiane Muniz (VAR).
CRUZEIRO (Técnico Fernando Seabra)Anderson; William, Zé Ivaldo, João Marcelo e Marlon; Lucas Silva, Filipe Machado e Ramiro; Matheus Pereira, Robert e Veron.
FLUMINENSE (Técnico Fernando Diniz)Fábio; Marquinhos, Thiago Santos, Antônio Carlos e Diogo Barbosa; Martinelli, Lima e Renato Augusto; Douglas Costa, Cano e John Kennedy.
"
"Técnico do Fluminense, Diniz reclama de ‘máquina de moer gente’ e aponta culpado em derrota",Tricolor está na lanterna do Campeonato Brasileiro,2024-06-20 00:31:00,Belo Horizonte (MG),"- O time hoje não foi o mesmo time que jogou contra o Botafogo, Juventude ou Atlético-GO. A equipe jogou bem diante do Cruzeiro, dentro das nossas características com um time muito mexido. Conseguimos produzir. Poderíamos ter vencido o jogo. Teve um pênalti totalmente inexistente, na minha opinião. O árbitro teve interferência direta na partida. Trabalhar não é só tecnicamente, fisicamente, mas também emocional. Quando a gente testava com o vento a favor, fomos muito lenientes. E agora a equipe está voltando. Deu uma resposta positiva que não se traduziu no resultado. O clube pode voltar a ganhar e fazer uma grande temporada ainda.
O treinador também comentou sobre as revoltas dos torcedores presentes no Mineirão, que estenderam uma faixa pedindo a demissão do comandante. Diniz reclamou da dinâmica do futebol, mas afirmou respeitar a opinião dos fãs.
- Não é algo que eu gosto, mas também não me preocupa. Sei acolher com respeito a opinião do torcedor. O resultado é muito determinante para as análises. Embora a equipe esteja devendo no Campeonato Brasileiro, a gente teve muitos jogos em que não merecíamos perder a partida. O resultado não vem e a análise fica em cima do resultado. Se jogar mal e ganhar três, quatro jogos, o trabalho já não terá ficado mais no teto. Eu não vejo teto para trabalho. A gente sempre tem coisas para melhorar. Futebol é uma coisa cruel, essa máquina de moer gente que ficamos submetidos.
Na lanterna do Brasileirão, o Fluminense retorna ao Rio de Janeiro nesta quinta-feira (20) e faz dois treinamentos para o clássico contra o Flamengo. O Tricolor ainda não venceu o Rubro-Negro em 2024.
"
"Atlético-GO x Criciúma: onde assistir ao vivo, horário e escalações do jogo pelo Brasileirão",Confira as principais informações do duelo válido pela 10ª rodada do Campeonato Brasileiro,2024-06-19 07:00:00,Goiânia (GO),"Confira todas as informações que você precisa saber sobre o confronto entre Atlético-GO e Criciúma (onde assistir, horário e local).
✅ FICHA TÉCNICAATLÉTICO-GO X CRICIÚMABRASILEIRÃO - 10ª RODADA
🗓️ Data e horário: quarta-feira, 19 de junho de 2024, às 19h📍 Local: Estádio Antônio Accioly, no em Goiânia (GO)📺 Onde assistir: Premiere🟨 Árbitro: Alex Gomes Stefano (RJ)🚩 Assistentes: Thiago Henrique Neto Correa Farinha (RJ) e Daniel de Oliveira Alves Pereira (RJ)📺 VAR: Paulo Renato Moreira da Silva Coelho (RJ)
⚽ PROVÁVEIS ESCALAÇÕES:ATLÉTICO-GO (Técnico: Jair Ventura)Ronaldo; Maguinho, Alix (Alejo), Pedro Henrique e Guilherme Romão; Rhaldney, Lucas Kal e Baralhas; Shaylon, Emiliano Rodríguez e Luiz Fernando.
CRICIÚMA (Técnico: Claudio Tencati)Gustavo; Claudinho (Jonathan), Walisson Maia, Tobias Figueiredo e Marcelo Hermes; Higor Meritão, Ronald, Barreto e Matheusinho; Bolasie e Éder.
"
"Contra o Cuiabá no Morumbis, São Paulo sofre primeira derrota sob o comando de Zubeldía",Eliel marca o gol que deu a vitória ao Cuiabá nesta 10ª rodada do Brasileirão,2024-06-19 21:58:00,São Paulo (SP),"O Tricolor iniciou o jogo com três de seus titulares no banco: Lucas, Nestor e Luiz Gustavo foram poupados e, em campo, o time mostrou que precisa do trio. O Cuiabá conseguiu assustar o time da casa no primeiro tempo e chegou a carimbar o travessão de Jandrei em uma das chances. No segundo, com o trio em campo, o time paulista passou a tentar um pouco mais, mas tecnicamente nada deu certo, e foi o Cuiabá, com Eliel, quem venceu.
✅ FICHA TÉCNICASÃO PAULO 0 x 1 CUIABÁBRASILEIRÃO - 10ª RODADA
🗓️ Data e horário: quarta-feira, 18 de junho de 2024, às 20h (de Brasília)📍 Local: Estádio do Morumbis, em São Paulo (SP)🟨 Árbitro: Gustavo Ervino Bauermann🚩 Assistentes: Thiaggo Americano Labes e Brigida Cirilo Ferreira🖥️ VAR: Marco Aurelio Augusto Fazekas Ferreira
⚽ ESCALAÇÕES
SÃO PAULO (Técnio: Luis Zubeldía)Jandrei; Igor Vinícius, Diego Costa, Arboleda e Welington; Alisson, Michel Araújo e Rato; Galoppo, Luciano e Calleri.
CUIABÁ (Técnico: Petit)Walter; Matheus Alexandre, Alan Empereur, Marllon e Ramon; Lucas Mineiro, Denilson e Max Alves; Jonathan Cafú, Pitta e Clayson.
"
"Palmeiras contrata Agustín Giay, do San Lorenzo",Verdão chega a acordor por joia argentina e aguarda exames para fazer anúncio,2024-06-20 11:27:00,São Paulo (SP),"O clube superou impasses com o estafe do atleta nas últimas horas para concluir a negociação. Giay tem 20 anos e é destaque nas seleções de base da Argentina, inclusive sendo capitão diversas oportunidades, e é titular do San Lorenzo desde os 18.
Polivalente, o jogador atua na lateral direita, como volante e meia pela direita. A versatilidade é justamente um dos ""mantras"" de Abel, que insiste em ter um elenco que os atletas desempenhem mais de uma função.
Agustín Giay está de folga por conta da paralização do Campeonato Argentino, por conta da Copa América, e viajou com amigos. Por isso, o Palmeiras ainda não confirmou quando o atleta se apresentará na Academia de Futebol para os exames médicos. Ele assinará contrato de cinco anos.
"
